原始序号,模型名称,一级分类,二级分类,model_type,architecture,target_stem,config_instruments,config_target_instrument,大小MiB,支持状态,推荐标签,业务场景,能力,备注,分类依据
11,mel_band_roformer_bleed_suppressor_v1.ckpt,音频清理/修复,降噪/串音抑制,mel_band_roformer,mel_band_roformer,bleed,Instrumental|Bleed,Instrumental,870.8,supported,首选,instrumental|denoise|restoration,denoise（降噪）,推荐依据：降噪专用模型；适合噪声、人群声、底噪处理。,bleed/debleed/bleedless 名称
12,mel_band_roformer_denoise_debleed_gabox.ckpt,音频清理/修复,降噪/串音抑制,mel_band_roformer,mel_band_roformer,bleed,Instrumental|Vocals,Instrumental,870.7,supported,首选,instrumental|denoise|restoration,denoise（降噪）,推荐依据：降噪专用模型；适合噪声、人群声、底噪处理。,bleed/debleed/bleedless 名称
13,mel_band_roformer_instrumental_bleedless_v1_gabox.ckpt,音频清理/修复,降噪/串音抑制,mel_band_roformer,mel_band_roformer,bleed,Instrumental|Vocals,Instrumental,870.7,supported,首选,instrumental|denoise|restoration,denoise（降噪）,推荐依据：降噪专用模型；适合噪声、人群声、底噪处理。,bleed/debleed/bleedless 名称
14,mel_band_roformer_instrumental_bleedless_v2_gabox.ckpt,音频清理/修复,降噪/串音抑制,mel_band_roformer,mel_band_roformer,bleed,Instrumental|Vocals,Instrumental,870.7,supported,首选,instrumental|denoise|restoration,denoise（降噪）,推荐依据：降噪专用模型；适合噪声、人群声、底噪处理。,bleed/debleed/bleedless 名称
15,mel_band_roformer_instrumental_bleedless_v3_gabox.ckpt,音频清理/修复,降噪/串音抑制,mel_band_roformer,mel_band_roformer,bleed,Instrumental|Vocals,Instrumental,870.7,supported,首选,instrumental|denoise|restoration,denoise（降噪）,推荐依据：降噪专用模型；适合噪声、人群声、底噪处理。,bleed/debleed/bleedless 名称
16,apollo_model_uni.ckpt,实验/通用分离,通用源分离,apollo,apollo,,,,140.1,supported,精选,restoration,restoration（音频修复）,推荐依据：音频修复模型；适合破音、压缩损伤、低质素材修复。,只有架构/SDR 信息，未见明确能力关键词
17,BS-Roformer_LargeV1.ckpt,实验/通用分离,通用源分离,bs_roformer,bs_roformer,,,,706.0,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
18,bs_hyperace.ckpt,实验/通用分离,通用源分离,bs_roformer,bs_roformer,,,,262.2,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
19,bs_roformer_anvuew_sdr_12.45.ckpt,实验/通用分离,通用源分离,bs_roformer,bs_roformer,,,,195.0,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
20,BS_Roformer_FNF_V1.ckpt,实验/通用分离,通用源分离,bs_roformer,bs_roformer,,Voices|Inst,Voices,585.6,supported,,,通用源分离,输出目标：Voices。分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
21,bs_roformer_ft1_anvuew_sdr_12.55.ckpt,实验/通用分离,通用源分离,bs_roformer,bs_roformer,,,,195.0,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
22,bs_roformer_mag_anvuew.ckpt,实验/通用分离,通用源分离,bs_roformer,bs_roformer,,,,195.0,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
23,bs_roformer_revive.ckpt,实验/通用分离,通用源分离,bs_roformer,bs_roformer,,,,609.7,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
24,bs_roformer_revive2.ckpt,实验/通用分离,通用源分离,bs_roformer,bs_roformer,,,,609.7,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
25,bs_roformer_revive3e.ckpt,实验/通用分离,通用源分离,bs_roformer,bs_roformer,,,,609.7,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
26,checkpoint-cmn_state_dict.ckpt,实验/通用分离,通用源分离,bandit_v2,bandit_v2,,,,142.2,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
27,checkpoint-deu_state_dict.ckpt,实验/通用分离,通用源分离,bandit_v2,bandit_v2,,,,142.2,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
28,checkpoint-eng_state_dict.ckpt,实验/通用分离,通用源分离,bandit_v2,bandit_v2,,,,142.2,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
29,checkpoint-fao_state_dict.ckpt,实验/通用分离,通用源分离,bandit_v2,bandit_v2,,,,142.2,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
30,checkpoint-fra_state_dict.ckpt,实验/通用分离,通用源分离,bandit_v2,bandit_v2,,,,142.2,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
31,checkpoint-spa_state_dict.ckpt,实验/通用分离,通用源分离,bandit_v2,bandit_v2,,,,142.2,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
32,Fullness.ckpt,实验/通用分离,通用源分离,mel_band_roformer,mel_band_roformer,,,,870.8,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
33,INSTV8.ckpt,实验/通用分离,通用源分离,mel_band_roformer,mel_band_roformer,,,,870.7,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
34,INSTV9.ckpt,实验/通用分离,通用源分离,mel_band_roformer,mel_band_roformer,,,,870.7,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
35,MDX23C_D1581.ckpt,实验/通用分离,通用源分离,mdx23c,mdx23c,,,,174.9,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
36,mel_band_roformer_small.ckpt,实验/通用分离,通用源分离,mel_band_roformer,mel_band_roformer,,,,193.2,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
37,melband_roformer_small_v1.ckpt,实验/通用分离,通用源分离,mel_band_roformer,mel_band_roformer,,,,193.2,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
38,MelBandRoformerBigSYHFTV1.ckpt,实验/通用分离,通用源分离,mel_band_roformer,mel_band_roformer,,,,1411.2,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
39,MelBandRoformerSYHFT.ckpt,实验/通用分离,通用源分离,mel_band_roformer,mel_band_roformer,,,,870.8,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
40,MelBandRoformerSYHFTB1.ckpt,实验/通用分离,通用源分离,mel_band_roformer,mel_band_roformer,,,,870.8,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
41,MelBandRoformerSYHFTV2.5.ckpt,实验/通用分离,通用源分离,mel_band_roformer,mel_band_roformer,,,,870.8,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
42,MelBandRoformerSYHFTV2.ckpt,实验/通用分离,通用源分离,mel_band_roformer,mel_band_roformer,,,,870.8,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
43,MelBandRoformerSYHFTV3Epsilon.ckpt,实验/通用分离,通用源分离,mel_band_roformer,mel_band_roformer,,,,870.8,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
44,merge_syhft.ckpt,实验/通用分离,通用源分离,mel_band_roformer,mel_band_roformer,,,,870.7,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
45,model2.ckpt,实验/通用分离,通用源分离,mel_band_roformer,mel_band_roformer,,,,870.8,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
46,model3.ckpt,实验/通用分离,通用源分离,mel_band_roformer,mel_band_roformer,,,,870.8,supported,,,通用源分离,分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
47,model_bs_roformer_ep_937_sdr_10.5309.ckpt,实验/通用分离,通用源分离,bs_roformer,bs_roformer,,No Drum-Bass|Drum-Bass,No Drum-Bass,374.9,supported,,drums,通用源分离,输出目标：No Drum-Bass。分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
48,model_jazz_scnet.ckpt,实验/通用分离,通用源分离,scnet,scnet,,drums|bass|piano|other,,40.5,supported,,drums,通用源分离,输出目标：drums|bass|piano|other。分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
49,model_jazz_scnet_large.ckpt,实验/通用分离,通用源分离,scnet,scnet,,drums|bass|piano|other,,161.0,supported,,drums,通用源分离,输出目标：drums|bass|piano|other。分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
50,model_jazz_scnet_xl.ckpt,实验/通用分离,通用源分离,scnet,scnet,,drums|bass|piano|other,,206.2,supported,,drums,通用源分离,输出目标：drums|bass|piano|other。分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
51,model_jazz_split_scnet.ckpt,实验/通用分离,通用源分离,scnet,scnet,,drums|bass|piano|other,,40.5,supported,,drums,通用源分离,输出目标：drums|bass|piano|other。分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
52,model_mel_band_roformer_ep_3_sdr_14.8359.ckpt,实验/通用分离,通用源分离,mel_band_roformer,mel_band_roformer,,dry|other,dry,2612.5,supported,,,通用源分离,输出目标：dry。分类置信度较低，建议先短音频试跑。,只有架构/SDR 信息，未见明确能力关键词
53,bs_large_v2_inst.ckpt,伴奏/无人声提取,伴奏/无人声提取,bs_roformer,bs_roformer,instrumental,,,227.2,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,inst/instrumental 名称
54,bs_roformer_inst_hyperacev2.ckpt,伴奏/无人声提取,伴奏/无人声提取,bs_roformer,bs_roformer,instrumental,,,275.4,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,inst/instrumental 名称
55,essid_mel_inst.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Vocals|Instrumental,Instrumental,870.8,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
56,essid_mel_inst_old.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Vocals|Instrumental,Instrumental,870.8,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
57,Inst_ExperimentalV1.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,870.7,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
58,Inst_Fv8.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,870.7,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
59,Inst_Fv9.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,870.8,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
60,inst_gaboxFlowersV10.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,466.9,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
61,Inst_GaboxFv9.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,870.8,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
62,Inst_GaboxV7.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,870.7,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
63,last_mel_band_roformer.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Vocals|Instrumental,Instrumental,2612.4,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
64,mel_band_roformer_instrumental_2_gabox.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,870.7,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
65,mel_band_roformer_instrumental_3_gabox.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,870.7,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
66,mel_band_roformer_instrumental_becruily.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,870.8,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：MelBand 伴奏模型；适合保留伴奏细节。,config target_instrument=instrumental
67,mel_band_roformer_instrumental_fullness_noise_v4_gabox.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,870.7,supported,首选,vocal|instrumental|denoise,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
68,mel_band_roformer_instrumental_fullness_v1_gabox.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,870.7,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
69,mel_band_roformer_instrumental_fullness_v2_gabox.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,870.7,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
70,mel_band_roformer_instrumental_fullness_v3_gabox.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,870.7,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
71,mel_band_roformer_instrumental_fullness_v4_gabox.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,870.8,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
72,mel_band_roformer_instrumental_fv7z_gabox.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,870.7,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
73,mel_band_roformer_instrumental_fv8_gabox.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,870.7,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：SOTA 双轨分离；适合高质量伴奏/人声拆分。,config target_instrument=instrumental
74,mel_band_roformer_instrumental_fv8b_gabox.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,870.7,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
75,mel_band_roformer_instrumental_fvx_gabox.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,870.7,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
76,mel_band_roformer_instrumental_gabox.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,870.7,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
77,mel_band_roformer_instrumental_instv5_gabox.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,870.7,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
78,mel_band_roformer_instrumental_instv5n_gabox.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,870.7,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
79,mel_band_roformer_instrumental_instv6_gabox.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,870.7,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
80,mel_band_roformer_instrumental_instv6n_gabox.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,870.7,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
81,mel_band_roformer_instrumental_instv7_gabox.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,870.7,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
82,mel_band_roformer_instrumental_instv7n_gabox.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,870.7,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
83,mel_band_roformer_instrumental_instv8_gabox.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,870.7,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
84,mel_band_roformer_instrumental_instv8n_gabox.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,870.7,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
85,model_mel_band_roformer_ep_0_sdr_11.4805.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Vocals|Instrumental,Instrumental,2612.5,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
86,model_mel_band_roformer_ep_0_sdr_16.8230.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,,,870.8,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,inst/instrumental 名称
87,Neo_InstVFX.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,870.8,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
88,small_inst.ckpt,伴奏/无人声提取,伴奏/无人声提取,mel_band_roformer,mel_band_roformer,instrumental,Instrumental|Vocals,Instrumental,193.2,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：伴奏提取强模型；适合去人声与保留伴奏细节。,config target_instrument=instrumental
89,bs_karaoke_gabox_IS.ckpt,卡拉OK/和声,卡拉OK/和声,bs_roformer,bs_roformer,backing_vocal,vocals|other,vocals,195.0,supported,首选,vocal|karaoke,lead/backing vocal（主唱/伴唱）,推荐依据：Karaoke 强模型；适合主唱、和声、伴唱分离。,config target_instrument=vocals; karaoke 作为和声/伴唱用途
90,bs_roformer_karaoke_anvuew.ckpt,卡拉OK/和声,卡拉OK/和声,bs_roformer,bs_roformer,backing_vocal,Vocals|Instrumental,Vocals,195.0,supported,首选,vocal|instrumental|karaoke,lead/backing vocal（主唱/伴唱）,推荐依据：BS-RoFormer Karaoke；适合主唱/伴唱分离。,config target_instrument=vocals; karaoke 作为和声/伴唱用途
91,bs_roformer_karaoke_frazer_becruily.ckpt,卡拉OK/和声,卡拉OK/和声,bs_roformer,bs_roformer,backing_vocal,Vocals|Instrumental,Vocals,195.0,supported,精选,vocal|instrumental|karaoke,backing vocal（伴唱）,推荐依据：伴唱分离表现好；适合和声、人声垫底提取。,config target_instrument=vocals; karaoke 作为和声/伴唱用途
92,Karaoke_GaboxV1.ckpt,卡拉OK/和声,卡拉OK/和声,mel_band_roformer,mel_band_roformer,backing_vocal,Instrumental|Vocals,Vocals,870.8,supported,首选,vocal|instrumental|karaoke,lead/backing vocal（主唱/伴唱）,推荐依据：Karaoke 强模型；适合主唱、和声、伴唱分离。,config target_instrument=vocals; karaoke 作为和声/伴唱用途
93,mel_band_karaoke_fusion_aggressive.ckpt,卡拉OK/和声,卡拉OK/和声,mel_band_roformer,mel_band_roformer,backing_vocal,Vocals|Instrumental,Vocals,870.8,supported,首选,vocal|instrumental|karaoke,lead/backing vocal（主唱/伴唱）,推荐依据：Karaoke 强模型；适合主唱、和声、伴唱分离。,config target_instrument=vocals; karaoke 作为和声/伴唱用途
94,mel_band_karaoke_fusion_standard.ckpt,卡拉OK/和声,卡拉OK/和声,mel_band_roformer,mel_band_roformer,backing_vocal,Vocals|Instrumental,Vocals,870.8,supported,首选,vocal|instrumental|karaoke,lead/backing vocal（主唱/伴唱）,推荐依据：Karaoke 强模型；适合主唱、和声、伴唱分离。,config target_instrument=vocals; karaoke 作为和声/伴唱用途
95,mel_band_roformer_bve_gonza.ckpt,卡拉OK/和声,卡拉OK/和声,mel_band_roformer,mel_band_roformer,backing_vocal,Lead|Back,Lead,870.8,supported,精选,karaoke,backing vocal（伴唱）,推荐依据：RoFormer BVE 模型；适合复杂人声层次分离。,back vocal/BVE 名称
96,mel_band_roformer_karaoke_becruily.ckpt,卡拉OK/和声,卡拉OK/和声,mel_band_roformer,mel_band_roformer,vocals/instrumental,Vocals|Instrumental,,1639.5,supported,精选,vocal|instrumental|karaoke,backing vocal（伴唱）,推荐依据：伴唱分离表现好；适合和声、人声垫底提取。,config two stems + karaoke name
97,mel_band_roformer_karaoke_gabox.ckpt,卡拉OK/和声,卡拉OK/和声,mel_band_roformer,mel_band_roformer,backing_vocal,Vocals|Instrumental,Vocals,870.7,supported,首选,vocal|instrumental|karaoke,lead/backing vocal（主唱/伴唱）,推荐依据：MelBand Karaoke；适合 lead/backing vocal 拆分。,config target_instrument=vocals; karaoke 作为和声/伴唱用途
